step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,Risk_Score,Risk_Level,Risk_Score_V2,Risk_Level_V2,Suspicious_Alert,Alert_ID,Priority,Case_ID,Investigator,Case_Status,SAR_Decision
1,TRANSFER,181.0,C1305486145,181.0,0.0,C553264065,0.0,0.0,1,0,30,Medium,50,Medium,True,ALT00001,Medium,CASE00001,Analyst_C,Open,No SAR Required
1,CASH_OUT,181.0,C840083671,181.0,0.0,C38997010,21182.0,0.0,1,0,20,Low,40,Medium,True,ALT00002,Medium,CASE00002,Analyst_B,Closed,No SAR Required
1,CASH_OUT,229133.94,C905080434,15325.0,0.0,C476402209,5083.0,51513.44,0,0,60,High,80,High,True,ALT00003,High,CASE00003,Analyst_A,Under Review,SAR Review Needed
1,TRANSFER,215310.3,C1670993182,705.0,0.0,C1100439041,22425.0,0.0,0,0,70,High,90,High,True,ALT00004,High,CASE00004,Analyst_A,Open,SAR Review Needed
1,TRANSFER,311685.89,C1984094095,10835.0,0.0,C932583850,6267.0,2719172.89,0,0,70,High,90,High,True,ALT00005,High,CASE00005,Analyst_A,Under Review,SAR Review Needed
1,CASH_OUT,110414.71,C768216420,26845.41,0.0,C1509514333,288800.0,2415.16,0,0,20,Low,40,Medium,True,ALT00006,Medium,CASE00006,Analyst_B,Open,No SAR Required
1,CASH_OUT,56953.9,C1570470538,1942.02,0.0,C824009085,70253.0,64106.18,0,0,20,Low,40,Medium,True,ALT00007,Medium,CASE00007,Analyst_A,Closed,No SAR Required
1,CASH_OUT,5346.89,C512549200,0.0,0.0,C248609774,652637.0,6453430.91,0,0,20,Low,40,Medium,True,ALT00008,Medium,CASE00008,Analyst_B,Open,No SAR Required
1,CASH_OUT,23261.3,C2072313080,20411.53,0.0,C2001112025,25742.0,0.0,0,0,20,Low,40,Medium,True,ALT00009,Medium,CASE00009,Analyst_D,Open,No SAR Required
1,TRANSFER,62610.8,C1976401987,79114.0,16503.2,C1937962514,517.0,8383.29,0,0,30,Medium,30,Medium,True,ALT00010,Low,CASE00010,Analyst_D,Escalated,No SAR Required
1,CASH_OUT,82940.31,C1528834618,3017.87,0.0,C476800120,132372.0,49864.36,0,0,20,Low,40,Medium,True,ALT00011,Medium,CASE00011,Analyst_D,Open,No SAR Required
1,CASH_OUT,94253.33,C1718906711,25203.05,0.0,C977993101,99773.0,965870.05,0,0,20,Low,40,Medium,True,ALT00012,Medium,CASE00012,Analyst_A,Escalated,No SAR Required
1,TRANSFER,42712.39,C283039401,10363.39,0.0,C1330106945,57901.66,24044.18,0,0,30,Medium,50,Medium,True,ALT00013,Medium,CASE00013,Analyst_B,Open,No SAR Required
1,TRANSFER,77957.68,C207471778,0.0,0.0,C1761291320,94900.0,22233.65,0,0,30,Medium,50,Medium,True,ALT00014,Medium,CASE00014,Analyst_C,Under Review,No SAR Required
1,TRANSFER,17231.46,C1243171897,0.0,0.0,C783286238,24672.0,0.0,0,0,30,Medium,50,Medium,True,ALT00015,Medium,CASE00015,Analyst_A,Closed,No SAR Required
1,TRANSFER,78766.03,C1376151044,0.0,0.0,C1749186397,103772.0,277515.05,0,0,30,Medium,50,Medium,True,ALT00016,Medium,CASE00016,Analyst_C,Closed,No SAR Required
1,TRANSFER,224606.64,C873175411,0.0,0.0,C766572210,354678.92,0.0,0,0,70,High,90,High,True,ALT00017,High,CASE00017,Analyst_A,Closed,SAR Review Needed
1,TRANSFER,125872.53,C1443967876,0.0,0.0,C392292416,348512.0,3420103.09,0,0,30,Medium,50,Medium,True,ALT00018,Medium,CASE00018,Analyst_B,Under Review,No SAR Required
1,TRANSFER,379856.23,C1449772539,0.0,0.0,C1590550415,900180.0,19169204.93,0,0,70,High,90,High,True,ALT00019,High,CASE00019,Analyst_D,Under Review,SAR Review Needed
1,TRANSFER,1505626.01,C926859124,0.0,0.0,C665576141,29031.0,5515763.34,0,0,70,High,120,High,True,ALT00020,Critical,CASE00020,Analyst_C,Closed,SAR Required
1,TRANSFER,554026.99,C1603696865,0.0,0.0,C766572210,579285.56,0.0,0,0,70,High,120,High,True,ALT00021,Critical,CASE00021,Analyst_A,Under Review,SAR Required
1,TRANSFER,147543.1,C12905860,0.0,0.0,C1359044626,223220.0,16518.36,0,0,30,Medium,50,Medium,True,ALT00022,Medium,CASE00022,Analyst_A,Under Review,No SAR Required
1,TRANSFER,761507.39,C412788346,0.0,0.0,C1590550415,1280036.23,19169204.93,0,0,70,High,120,High,True,ALT00023,Critical,CASE00023,Analyst_B,Open,SAR Required
1,TRANSFER,1429051.47,C1520267010,0.0,0.0,C1590550415,2041543.62,19169204.93,0,0,70,High,120,High,True,ALT00024,Critical,CASE00024,Analyst_D,Closed,SAR Required
1,TRANSFER,358831.92,C908084672,0.0,0.0,C392292416,474384.53,3420103.09,0,0,70,High,90,High,True,ALT00025,High,CASE00025,Analyst_B,Under Review,SAR Review Needed
1,TRANSFER,367768.4,C288306765,0.0,0.0,C1359044626,370763.1,16518.36,0,0,70,High,90,High,True,ALT00026,High,CASE00026,Analyst_A,Under Review,SAR Review Needed
1,TRANSFER,209711.11,C1556867940,0.0,0.0,C1509514333,399214.71,2415.16,0,0,70,High,90,High,True,ALT00027,High,CASE00027,Analyst_D,Escalated,SAR Review Needed
1,TRANSFER,583848.46,C1839168128,0.0,0.0,C1286084959,667778.0,2107778.11,0,0,70,High,120,High,True,ALT00028,Critical,CASE00028,Analyst_C,Under Review,SAR Required
1,TRANSFER,1724887.05,C1495608502,0.0,0.0,C1590550415,3470595.1,19169204.93,0,0,70,High,120,High,True,ALT00029,Critical,CASE00029,Analyst_A,Closed,SAR Required
1,TRANSFER,710544.77,C835773569,0.0,0.0,C1359044626,738531.5,16518.36,0,0,70,High,120,High,True,ALT00030,Critical,CASE00030,Analyst_D,Under Review,SAR Required
1,TRANSFER,581294.26,C843299092,0.0,0.0,C1590550415,5195482.15,19169204.93,0,0,70,High,120,High,True,ALT00031,Critical,CASE00031,Analyst_D,Escalated,SAR Required
1,TRANSFER,11996.58,C605982374,0.0,0.0,C1225616405,40255.0,0.0,0,0,30,Medium,50,Medium,True,ALT00032,Medium,CASE00032,Analyst_D,Escalated,No SAR Required
1,CASH_OUT,28404.6,C2091072548,0.0,0.0,C1282788025,51744.0,0.0,0,0,20,Low,40,Medium,True,ALT00033,Medium,CASE00033,Analyst_A,Under Review,No SAR Required
1,CASH_OUT,75405.1,C263053820,0.0,0.0,C1870252780,104209.0,46462.23,0,0,20,Low,40,Medium,True,ALT00034,Medium,CASE00034,Analyst_A,Open,No SAR Required
1,CASH_OUT,50101.88,C1740826931,0.0,0.0,C97730845,67684.0,9940339.29,0,0,20,Low,40,Medium,True,ALT00035,Medium,CASE00035,Analyst_D,Under Review,No SAR Required
1,CASH_OUT,14121.82,C69062746,0.0,0.0,C100555887,52679.0,10963.66,0,0,20,Low,40,Medium,True,ALT00036,Medium,CASE00036,Analyst_B,Open,No SAR Required
1,CASH_OUT,78292.91,C1631227617,0.0,0.0,C1983747920,121112.0,95508.95,0,0,20,Low,40,Medium,True,ALT00037,Medium,CASE00037,Analyst_A,Closed,No SAR Required
1,CASH_OUT,176149.9,C24650043,0.0,0.0,C736709391,259813.0,46820.71,0,0,20,Low,40,Medium,True,ALT00038,Medium,CASE00038,Analyst_D,Open,No SAR Required
